image_path,video,t,hexbug,x,y,xmin,ymin,xmax,ymax,label
frames\training01\frame_000000.jpg,training01,0,0,234.29933774834456,527.4278145695364,210.29933774834456,503.4278145695364,258.29933774834456,551.4278145695364,1
frames\training01\frame_000001.jpg,training01,1,0,229.72185430463597,525.9019867549669,205.72185430463597,501.90198675496686,253.72185430463597,549.9019867549669,1
frames\training01\frame_000002.jpg,training01,2,0,273.24352331606235,477.1150259067357,249.24352331606235,453.1150259067357,297.24352331606235,501.1150259067357,1
frames\training01\frame_000003.jpg,training01,3,0,320.99481865284986,435.7305699481865,296.99481865284986,411.7305699481865,344.99481865284986,459.7305699481865,1
frames\training01\frame_000004.jpg,training01,4,0,376.7046632124353,419.8134715025906,352.7046632124353,395.8134715025906,400.7046632124353,443.8134715025906,1
frames\training01\frame_000005.jpg,training01,5,0,437.1896373056997,411.85492227979273,413.1896373056997,387.85492227979273,461.1896373056997,435.85492227979273,1
frames\training01\frame_000006.jpg,training01,6,0,418.09606986899576,354.4873362445415,394.09606986899576,330.4873362445415,442.09606986899576,378.4873362445415,1
frames\training01\frame_000007.jpg,training01,7,0,447.6087336244542,295.46200873362454,423.6087336244542,271.46200873362454,471.6087336244542,319.46200873362454,1
frames\training01\frame_000008.jpg,training01,8,0,517.3659388646288,265.9493449781659,493.3659388646288,241.94934497816593,541.3659388646288,289.9493449781659,1
frames\training01\frame_000009.jpg,training01,9,0,601.1357512953368,243.13367875647663,577.1357512953368,219.13367875647663,625.1357512953368,267.1336787564766,1
frames\training01\frame_000010.jpg,training01,10,0,683.7100436681225,249.8515283842792,659.7100436681225,225.8515283842792,707.7100436681225,273.85152838427916,1
frames\training01\frame_000011.jpg,training01,11,0,750.7842794759827,314.2427947598254,726.7842794759827,290.2427947598254,774.7842794759827,338.2427947598254,1
frames\training01\frame_000012.jpg,training01,12,0,761.5161572052402,367.9021834061137,737.5161572052402,343.9021834061137,785.5161572052402,391.9021834061137,1
frames\training01\frame_000013.jpg,training01,13,0,782.9799126637556,437.65938864628833,758.9799126637556,413.65938864628833,806.9799126637556,461.65938864628833,1
frames\training01\frame_000014.jpg,training01,14,0,774.9310043668121,518.1484716157208,750.9310043668121,494.14847161572084,798.9310043668121,542.1484716157208,1
frames\training01\frame_000015.jpg,training01,15,0,659.5633187772927,536.9292576419216,635.5633187772927,512.9292576419216,683.5633187772927,560.9292576419216,1
frames\training01\frame_000016.jpg,training01,16,0,603.2209606986901,542.2951965065504,579.2209606986901,518.2951965065504,627.2209606986901,566.2951965065504,1
frames\training01\frame_000017.jpg,training01,17,0,541.5126637554587,547.6611353711792,517.5126637554587,523.6611353711792,565.5126637554587,571.6611353711792,1
frames\training01\frame_000018.jpg,training01,18,0,461.0652849740934,542.3751295336787,437.0652849740934,518.3751295336787,485.0652849740934,566.3751295336787,1
frames\training01\frame_000019.jpg,training01,19,0,397.39689119171,531.2331606217616,373.39689119171,507.2331606217616,421.39689119171,555.2331606217616,1
frames\training01\frame_000020.jpg,training01,20,0,341.6870466321245,465.9730569948185,317.6870466321245,441.9730569948185,365.6870466321245,489.9730569948185,1
frames\training01\frame_000021.jpg,training01,21,0,334.924017467249,392.0489082969433,310.924017467249,368.0489082969433,358.924017467249,416.0489082969433,1
frames\training01\frame_000022.jpg,training01,22,0,337.6069868995633,314.24279475982536,313.6069868995633,290.24279475982536,361.6069868995633,338.24279475982536,1
frames\training01\frame_000023.jpg,training01,23,0,377.8515283842796,239.1196506550218,353.8515283842796,215.1196506550218,401.8515283842796,263.1196506550218,1
frames\training01\frame_000024.jpg,training01,24,0,415.4131004366813,177.41135371179055,391.4131004366813,153.41135371179055,439.4131004366813,201.41135371179055,1
