image_path,video,t,hexbug,x,y,xmin,ymin,xmax,ymax,label
frames\training01\frame_000000.jpg,training01,0,0,234.29933774834456,527.4278145695364,204.29933774834456,497.4278145695364,264.29933774834456,557.4278145695364,1
frames\training01\frame_000001.jpg,training01,1,0,229.72185430463597,525.9019867549669,199.72185430463597,495.90198675496686,259.72185430463594,555.9019867549669,1
frames\training01\frame_000002.jpg,training01,2,0,273.24352331606235,477.1150259067357,243.24352331606235,447.1150259067357,303.24352331606235,507.1150259067357,1
frames\training01\frame_000003.jpg,training01,3,0,320.99481865284986,435.7305699481865,290.99481865284986,405.7305699481865,350.99481865284986,465.7305699481865,1
frames\training01\frame_000004.jpg,training01,4,0,376.7046632124353,419.8134715025906,346.7046632124353,389.8134715025906,406.7046632124353,449.8134715025906,1
frames\training01\frame_000005.jpg,training01,5,0,437.1896373056997,411.85492227979273,407.1896373056997,381.85492227979273,467.1896373056997,441.85492227979273,1
frames\training01\frame_000006.jpg,training01,6,0,418.09606986899576,354.4873362445415,388.09606986899576,324.4873362445415,448.09606986899576,384.4873362445415,1
frames\training01\frame_000007.jpg,training01,7,0,447.6087336244542,295.46200873362454,417.6087336244542,265.46200873362454,477.6087336244542,325.46200873362454,1
frames\training01\frame_000008.jpg,training01,8,0,517.3659388646288,265.9493449781659,487.3659388646288,235.94934497816593,547.3659388646288,295.9493449781659,1
frames\training01\frame_000009.jpg,training01,9,0,601.1357512953368,243.13367875647663,571.1357512953368,213.13367875647663,631.1357512953368,273.1336787564766,1
frames\training01\frame_000010.jpg,training01,10,0,683.7100436681225,249.8515283842792,653.7100436681225,219.8515283842792,713.7100436681225,279.85152838427916,1
frames\training01\frame_000011.jpg,training01,11,0,750.7842794759827,314.2427947598254,720.7842794759827,284.2427947598254,780.7842794759827,344.2427947598254,1
frames\training01\frame_000012.jpg,training01,12,0,761.5161572052402,367.9021834061137,731.5161572052402,337.9021834061137,791.5161572052402,397.9021834061137,1
frames\training01\frame_000013.jpg,training01,13,0,782.9799126637556,437.65938864628833,752.9799126637556,407.65938864628833,812.9799126637556,467.65938864628833,1
frames\training01\frame_000014.jpg,training01,14,0,774.9310043668121,518.1484716157208,744.9310043668121,488.14847161572084,804.9310043668121,548.1484716157208,1
frames\training01\frame_000015.jpg,training01,15,0,659.5633187772927,536.9292576419216,629.5633187772927,506.9292576419216,689.5633187772927,566.9292576419216,1
frames\training01\frame_000016.jpg,training01,16,0,603.2209606986901,542.2951965065504,573.2209606986901,512.2951965065504,633.2209606986901,572.2951965065504,1
frames\training01\frame_000017.jpg,training01,17,0,541.5126637554587,547.6611353711792,511.5126637554587,517.6611353711792,571.5126637554587,577.6611353711792,1
frames\training01\frame_000018.jpg,training01,18,0,461.0652849740934,542.3751295336787,431.0652849740934,512.3751295336787,491.0652849740934,572.3751295336787,1
frames\training01\frame_000019.jpg,training01,19,0,397.39689119171,531.2331606217616,367.39689119171,501.2331606217616,427.39689119171,561.2331606217616,1
frames\training01\frame_000020.jpg,training01,20,0,341.6870466321245,465.9730569948185,311.6870466321245,435.9730569948185,371.6870466321245,495.9730569948185,1
frames\training01\frame_000021.jpg,training01,21,0,334.924017467249,392.0489082969433,304.924017467249,362.0489082969433,364.924017467249,422.0489082969433,1
frames\training01\frame_000022.jpg,training01,22,0,337.6069868995633,314.24279475982536,307.6069868995633,284.24279475982536,367.6069868995633,344.24279475982536,1
frames\training01\frame_000023.jpg,training01,23,0,377.8515283842796,239.1196506550218,347.8515283842796,209.1196506550218,407.8515283842796,269.1196506550218,1
