image_path,video,t,hexbug,x,y,xmin,ymin,xmax,ymax,label
frames\training010\frame_000000.jpg,training010,0,0,561.5860373196119,567.3701317311427,541.5860373196119,547.3701317311427,581.5860373196119,587.3701317311427,1
frames\training010\frame_000000.jpg,training010,0,1,864.1627118644068,216.5240677966102,844.1627118644068,196.5240677966102,884.1627118644068,236.5240677966102,1
frames\training010\frame_000000.jpg,training010,0,2,1038.71186440678,568.1159322033899,1018.71186440678,548.1159322033899,1058.71186440678,588.1159322033899,1
frames\training010\frame_000001.jpg,training010,1,0,562.4420338983049,473.36067796610166,542.4420338983049,453.36067796610166,582.4420338983049,493.36067796610166,1
frames\training010\frame_000001.jpg,training010,1,1,816.7850847457629,139.22372881355932,796.7850847457629,119.22372881355932,836.7850847457629,159.22372881355932,1
frames\training010\frame_000001.jpg,training010,1,2,1031.231186440678,513.2576271186442,1011.231186440678,493.2576271186442,1051.231186440678,533.2576271186442,1
frames\training010\frame_000002.jpg,training010,2,0,582.3905084745761,346.1891525423728,562.3905084745761,326.1891525423728,602.3905084745761,366.1891525423728,1
frames\training010\frame_000002.jpg,training010,2,1,771.9010169491527,74.39118644067793,751.9010169491527,54.39118644067793,791.9010169491527,94.39118644067791,1
frames\training010\frame_000002.jpg,training010,2,2,1023.7505084745763,408.5281355932205,1003.7505084745763,388.5281355932205,1043.7505084745762,428.5281355932205,1
frames\training010\frame_000003.jpg,training010,3,0,679.6393220338981,251.4338983050847,659.6393220338981,231.4338983050847,699.6393220338981,271.4338983050847,1
frames\training010\frame_000003.jpg,training010,3,1,692.1071186440679,99.32677966101691,672.1071186440679,79.32677966101691,712.1071186440679,119.32677966101691,1
frames\training010\frame_000003.jpg,training010,3,2,1046.1925423728817,306.29220338983055,1026.1925423728817,286.29220338983055,1066.1925423728817,326.29220338983055,1
frames\training010\frame_000004.jpg,training010,4,0,765.4382616876755,192.1265970933477,745.4382616876755,172.1265970933477,785.4382616876755,212.1265970933477,1
frames\training010\frame_000004.jpg,training010,4,1,607.3261016949153,134.23661016949154,587.3261016949153,114.23661016949154,627.3261016949153,154.23661016949154,1
frames\training010\frame_000004.jpg,training010,4,2,1036.218305084746,219.0176271186441,1016.218305084746,199.0176271186441,1056.218305084746,239.0176271186441,1
frames\training010\frame_000005.jpg,training010,5,0,864.1627118644066,151.69152542372876,844.1627118644066,131.69152542372876,884.1627118644066,171.69152542372876,1
frames\training010\frame_000005.jpg,training010,5,1,540.0,161.66576271186443,520.0,141.66576271186443,560.0,181.66576271186443,1
frames\training010\frame_000005.jpg,training010,5,2,1038.71186440678,134.23661016949154,1018.71186440678,114.23661016949154,1058.71186440678,154.23661016949154,1
frames\training010\frame_000006.jpg,training010,6,0,986.486441801939,134.12255652725224,966.486441801939,114.12255652725224,1006.486441801939,154.12255652725224,1
frames\training010\frame_000006.jpg,training010,6,1,501.65240179605655,190.6686626662537,481.65240179605655,170.6686626662537,521.6524017960566,210.6686626662537,1
frames\training010\frame_000006.jpg,training010,6,2,1036.218305084746,56.93627118644065,1016.218305084746,36.93627118644065,1056.218305084746,76.93627118644065,1
frames\training010\frame_000007.jpg,training010,7,0,938.1743171197296,61.44059904074293,918.1743171197296,41.44059904074293,958.1743171197296,81.44059904074294,1
frames\training010\frame_000007.jpg,training010,7,1,587.3776271186441,228.9918644067796,567.3776271186441,208.9918644067796,607.3776271186441,248.9918644067796,1
frames\training010\frame_000007.jpg,training010,7,2,1046.8566158812437,53.83102121900463,1026.8566158812437,33.83102121900463,1066.8566158812437,73.83102121900464,1
frames\training010\frame_000008.jpg,training010,8,0,982.2110325380264,53.744862365700754,962.2110325380264,33.744862365700754,1002.2110325380264,73.74486236570075,1
